company,sector,symbol
Adani Enterprises,Miscellaneous,ADANIENT
Adani Ports & Sez,Miscellaneous,ADANIPORTS
Apollo Hospitals,Miscellaneous,APOLLOHOSP
Asian Paints,Paints,ASIANPAINT
Axis Bank,Banking,AXISBANK
Bajaj Auto,Automobiles,BAJAJ-AUTO
Bajaj Finance,Finance,BAJFINANCE
Bajaj Finserv,Finance,BAJAJFINSV
Bharat Electronics,Defence,BEL
Bharti Airtel,Telecom,BHARTIARTL
Bpcl,Energy,BPCL
Cipla,Pharmaceuticals,CIPLA
Coal India,Mining,COALINDIA
Dr. Reddys Lab,Pharmaceuticals,DRREDDY
Eicher Motors,Automobiles,EICHERMOT
Grasim,Textiles,GRASIM
Hcl Technologies,Software,HCLTECH
Hdfc Bank,Banking,HDFCBANK
Hdfc Life Insurance,Insurance,HDFCLIFE
Hero Motocorp,Automobiles,HEROMOTOCO
Hindalco,Aluminium,HINDALCO
Hindustan Unilever,Fmcg,HINDUNILVR
Icici Bank,Banking,ICICIBANK
Indusind Bank,Banking,INDUSINDBK
Infosys,Software,INFY
Itc,Food & Tobacco,ITC
Jsw Steel,Steel,JSWSTEEL
Kotak Mahindra Bank,Banking,KOTAKBANK
L&T,Engineering,LT
M&M,Automobiles,M&M
Maruti Suzuki,Automobiles,MARUTI
Nestle,Food & Tobacco,NESTLEIND
Ntpc,Power,NTPC
Ongc,Energy,ONGC
Power Grid,Power,POWERGRID
Reliance Ind.,Energy,RELIANCE
Sbi,Banking,SBIN
Sbi Life Insurance,Insurance,SBILIFE
Shriram Finance,Finance,SHRIRAMFIN
Sun Pharma,Pharmaceuticals,SUNPHARMA
Tata Consumer,Fmcg,TATACONSUM
Tata Motors,Automobiles,TATAMOTORS
Tata Steel,Steel,TATASTEEL
Tcs,Software,TCS
Tech Mahindra,Software,TECHM
Titan,Retailing,TITAN
Trent,Retailing,TRENT
Ultratech Cement,Cement,ULTRACEMCO
Wipro,Software,WIPRO
Britannia Industries,Fmcg,BRITANNIA
